gene	ENSG_id	cohort	cancer_group	x_labels	mean	median	sd	efo_code	mondo_code	uberon_code	plot_api
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Brain - Amygdala (N = 152)	2.29	2.22	0.86	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Brain - Anterior cingulate cortex (BA24) (N = 176)	1.86	1.78	0.65	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Brain - Caudate (basal ganglia) (N = 246)	1.35	1.35	0.5	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Brain - Cerebellar Hemisphere (N = 215)	3.12	2.79	1.83	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Brain - Cerebellum (N = 241)	3.27	2.77	1.98	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Brain - Cortex (N = 255)	1.63	1.53	0.57	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Brain - Frontal Cortex (BA9) (N = 209)	1.61	1.56	0.59	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Brain - Hippocampus (N = 197)	2.21	2.09	1	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Brain - Hypothalamus (N = 202)	1.58	1.45	0.83	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Brain - Nucleus accumbens (basal ganglia) (N = 246)	1.36	1.28	0.69	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Brain - Putamen (basal ganglia) (N = 205)	1.32	1.24	0.58	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Brain - Spinal cord (cervical c-1) (N = 159)	3.34	3.2	1.52	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Brain - Substantia nigra (N = 139)	1.74	1.59	0.96	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Breast - Mammary Tissue (N = 459)	2.27	1.88	1.62	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Cells - Cultured fibroblasts (N = 504)	1.3	1.21	0.6	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Cells - EBV-transformed lymphocytes (N = 174)	2.61	2.33	1.56	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Cervix - Ectocervix (N = 9)	4.63	3.68	2.91	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Cervix - Endocervix (N = 10)	5.14	3.64	4.09	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Colon - Sigmoid (N = 373)	1.67	1.55	0.83	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Colon - Transverse (N = 406)	2.02	1.92	0.87	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Esophagus - Gastroesophageal Junction (N = 375)	1.13	0.99	0.61	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Esophagus - Mucosa (N = 555)	1.16	1.04	0.59	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Esophagus - Muscularis (N = 515)	1.19	1.05	0.65	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Fallopian Tube (N = 9)	3.32	2.8	1.75	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Heart - Atrial Appendage (N = 429)	0.63	0.56	0.36	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Heart - Left Ventricle (N = 432)	0.44	0.34	0.42	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Kidney - Cortex (N = 85)	0.66	0.48	0.75	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Liver (N = 226)	0.17	0.12	0.2	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Lung (N = 578)	1.52	1.31	1.01	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Minor Salivary Gland (N = 162)	2.06	1.84	1.2	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Muscle - Skeletal (N = 803)	0.45	0.34	0.4	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Nerve - Tibial (N = 619)	3	2.89	1.11	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Ovary (N = 180)	5.42	4.51	3.52	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Pancreas (N = 328)	0.33	0.26	0.32	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Pituitary (N = 283)	2.24	2.04	1.12	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Prostate (N = 245)	2.24	2.08	1.05	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Skin - Not Sun Exposed (Suprapubic) (N = 604)	13.99	13.12	6.07	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Skin - Sun Exposed (Lower leg) (N = 701)	10.98	10.5	4.54	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Small Intestine - Terminal Ileum (N = 187)	2.74	2.13	2	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Spleen (N = 241)	3.1	2.8	1.43	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Stomach (N = 359)	0.76	0.65	0.46	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Testis (N = 361)	32.59	32.61	10.03	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Thyroid (N = 653)	1.07	0.95	0.6	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Uterus (N = 142)	6.07	4.65	4.41	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Vagina (N = 156)	3.16	2.98	1.37	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Craniopharyngioma (N = 15)	Whole Blood (N = 755)	1.04	0.8	1.81	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Neuroblastoma (N = 209)	27.83	26.63	15.74	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Adipose - Subcutaneous (N = 663)	1.76	1.66	0.82	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Adipose - Visceral (Omentum) (N = 541)	1.2	1.04	0.65	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Adrenal Gland (N = 258)	0.72	0.63	0.36	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Artery - Aorta (N = 432)	1.45	1.3	0.74	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Artery - Coronary (N = 240)	1.37	1.14	0.95	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Artery - Tibial (N = 663)	0.75	0.61	0.59	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Bladder (N = 21)	1.98	1.85	1.25	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Brain - Amygdala (N = 152)	2.29	2.22	0.86	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Brain - Anterior cingulate cortex (BA24) (N = 176)	1.86	1.78	0.65	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Brain - Caudate (basal ganglia) (N = 246)	1.35	1.35	0.5	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Brain - Cerebellar Hemisphere (N = 215)	3.12	2.79	1.83	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Brain - Cerebellum (N = 241)	3.27	2.77	1.98	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Brain - Cortex (N = 255)	1.63	1.53	0.57	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Brain - Frontal Cortex (BA9) (N = 209)	1.61	1.56	0.59	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Brain - Hippocampus (N = 197)	2.21	2.09	1	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Brain - Hypothalamus (N = 202)	1.58	1.45	0.83	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Brain - Nucleus accumbens (basal ganglia) (N = 246)	1.36	1.28	0.69	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Brain - Putamen (basal ganglia) (N = 205)	1.32	1.24	0.58	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Brain - Spinal cord (cervical c-1) (N = 159)	3.34	3.2	1.52	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Brain - Substantia nigra (N = 139)	1.74	1.59	0.96	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Breast - Mammary Tissue (N = 459)	2.27	1.88	1.62	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Cells - Cultured fibroblasts (N = 504)	1.3	1.21	0.6	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Cells - EBV-transformed lymphocytes (N = 174)	2.61	2.33	1.56	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Cervix - Ectocervix (N = 9)	4.63	3.68	2.91	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Cervix - Endocervix (N = 10)	5.14	3.64	4.09	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Colon - Sigmoid (N = 373)	1.67	1.55	0.83	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Colon - Transverse (N = 406)	2.02	1.92	0.87	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Esophagus - Gastroesophageal Junction (N = 375)	1.13	0.99	0.61	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Esophagus - Mucosa (N = 555)	1.16	1.04	0.59	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Esophagus - Muscularis (N = 515)	1.19	1.05	0.65	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Fallopian Tube (N = 9)	3.32	2.8	1.75	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Heart - Atrial Appendage (N = 429)	0.63	0.56	0.36	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Heart - Left Ventricle (N = 432)	0.44	0.34	0.42	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Kidney - Cortex (N = 85)	0.66	0.48	0.75	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Liver (N = 226)	0.17	0.12	0.2	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Lung (N = 578)	1.52	1.31	1.01	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Minor Salivary Gland (N = 162)	2.06	1.84	1.2	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Muscle - Skeletal (N = 803)	0.45	0.34	0.4	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Nerve - Tibial (N = 619)	3	2.89	1.11	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Ovary (N = 180)	5.42	4.51	3.52	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Pancreas (N = 328)	0.33	0.26	0.32	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Pituitary (N = 283)	2.24	2.04	1.12	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Prostate (N = 245)	2.24	2.08	1.05	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Skin - Not Sun Exposed (Suprapubic) (N = 604)	13.99	13.12	6.07	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Skin - Sun Exposed (Lower leg) (N = 701)	10.98	10.5	4.54	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Small Intestine - Terminal Ileum (N = 187)	2.74	2.13	2	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Spleen (N = 241)	3.1	2.8	1.43	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Stomach (N = 359)	0.76	0.65	0.46	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Testis (N = 361)	32.59	32.61	10.03	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Thyroid (N = 653)	1.07	0.95	0.6	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Uterus (N = 142)	6.07	4.65	4.41	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Vagina (N = 156)	3.16	2.98	1.37	NA	NA	NA	NA
GPC2	NA	GMKF, GTEx	Neuroblastoma (N = 209)	Whole Blood (N = 755)	1.04	0.8	1.81	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Low-grade glioma/astrocytoma (N = 301)	2.3	1.95	2.15	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Adipose - Subcutaneous (N = 663)	0.81	0.43	1.49	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Adipose - Visceral (Omentum) (N = 541)	0.41	0.25	0.49	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Adrenal Gland (N = 258)	0.43	0.24	0.62	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Artery - Aorta (N = 432)	0.35	0.25	0.33	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Artery - Coronary (N = 240)	1.06	0.7	1.26	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Artery - Tibial (N = 663)	0.37	0.2	0.54	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Bladder (N = 21)	1.03	0.73	0.76	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Brain - Amygdala (N = 152)	2.43	2.09	1.48	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Brain - Anterior cingulate cortex (BA24) (N = 176)	2.48	2.18	1.27	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Brain - Caudate (basal ganglia) (N = 246)	1.74	1.57	0.96	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Brain - Cerebellar Hemisphere (N = 215)	0.8	0.72	0.46	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Brain - Cerebellum (N = 241)	1.19	1.12	0.51	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Brain - Cortex (N = 255)	2.84	2.68	1.3	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Brain - Frontal Cortex (BA9) (N = 209)	2.66	2.44	1.52	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Brain - Hippocampus (N = 197)	3.46	2.93	2.19	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Brain - Hypothalamus (N = 202)	2.88	2.56	1.75	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Brain - Nucleus accumbens (basal ganglia) (N = 246)	2.38	2.27	1.37	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Brain - Putamen (basal ganglia) (N = 205)	1.72	1.37	1.39	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Brain - Spinal cord (cervical c-1) (N = 159)	6.42	5.62	4.01	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Brain - Substantia nigra (N = 139)	3.14	2.59	2.25	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Breast - Mammary Tissue (N = 459)	0.67	0.43	0.8	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Cells - Cultured fibroblasts (N = 504)	0.01	0	0.03	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Cells - EBV-transformed lymphocytes (N = 174)	0.02	0	0.03	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Cervix - Ectocervix (N = 9)	0.92	0.58	0.75	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Cervix - Endocervix (N = 10)	1.08	1.08	0.54	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Colon - Sigmoid (N = 373)	0.69	0.58	0.47	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Colon - Transverse (N = 406)	0.85	0.63	0.74	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Esophagus - Gastroesophageal Junction (N = 375)	0.72	0.6	0.58	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Esophagus - Mucosa (N = 555)	0.95	0.75	0.75	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Esophagus - Muscularis (N = 515)	0.73	0.55	0.6	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Fallopian Tube (N = 9)	0.65	0.56	0.26	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Heart - Atrial Appendage (N = 429)	0.45	0.32	0.5	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Heart - Left Ventricle (N = 432)	0.36	0.23	0.41	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Kidney - Cortex (N = 85)	1.59	1.02	1.75	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Liver (N = 226)	0.48	0.13	1.12	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Lung (N = 578)	0.69	0.29	1.5	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Minor Salivary Gland (N = 162)	6.39	4.85	5.7	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Muscle - Skeletal (N = 803)	0.14	0.09	0.17	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Nerve - Tibial (N = 619)	8.16	7.52	4.16	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Ovary (N = 180)	4.08	2.95	3.87	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Pancreas (N = 328)	0.12	0.08	0.14	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Pituitary (N = 283)	0.52	0.36	0.48	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Prostate (N = 245)	0.3	0.2	0.35	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Skin - Not Sun Exposed (Suprapubic) (N = 604)	2.16	0.58	4.87	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Skin - Sun Exposed (Lower leg) (N = 701)	1.4	0.63	2.42	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Small Intestine - Terminal Ileum (N = 187)	1.28	1.16	0.6	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Spleen (N = 241)	0.54	0.31	0.86	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Stomach (N = 359)	2.55	1.95	2.36	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Testis (N = 361)	6.66	6.82	1.7	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Thyroid (N = 653)	5.78	5.02	3.6	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Uterus (N = 142)	0.66	0.53	0.51	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Vagina (N = 156)	0.88	0.61	0.88	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Whole Blood (N = 755)	0.05	0.03	0.08	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Adamantinomatous Craniopharyngioma (N = 20)	6.66	6.38	4.07	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Adipose - Subcutaneous (N = 663)	0.81	0.43	1.49	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Adipose - Visceral (Omentum) (N = 541)	0.41	0.25	0.49	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Adrenal Gland (N = 258)	0.43	0.24	0.62	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Artery - Aorta (N = 432)	0.35	0.25	0.33	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Artery - Coronary (N = 240)	1.06	0.7	1.26	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Artery - Tibial (N = 663)	0.37	0.2	0.54	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Bladder (N = 21)	1.03	0.73	0.76	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Brain - Amygdala (N = 152)	2.43	2.09	1.48	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Brain - Anterior cingulate cortex (BA24) (N = 176)	2.48	2.18	1.27	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Brain - Caudate (basal ganglia) (N = 246)	1.74	1.57	0.96	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Brain - Cerebellar Hemisphere (N = 215)	0.8	0.72	0.46	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Brain - Cerebellum (N = 241)	1.19	1.12	0.51	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Brain - Cortex (N = 255)	2.84	2.68	1.3	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Brain - Frontal Cortex (BA9) (N = 209)	2.66	2.44	1.52	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Brain - Hippocampus (N = 197)	3.46	2.93	2.19	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Brain - Hypothalamus (N = 202)	2.88	2.56	1.75	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Brain - Nucleus accumbens (basal ganglia) (N = 246)	2.38	2.27	1.37	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Brain - Putamen (basal ganglia) (N = 205)	1.72	1.37	1.39	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Brain - Spinal cord (cervical c-1) (N = 159)	6.42	5.62	4.01	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Brain - Substantia nigra (N = 139)	3.14	2.59	2.25	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Breast - Mammary Tissue (N = 459)	0.67	0.43	0.8	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Cells - Cultured fibroblasts (N = 504)	0.01	0	0.03	NA	NA	NA	NA
MYCN	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Cells - EBV-transformed lymphocytes (N = 174)	0.02	0	0.03	NA	NA	NA	NA
