Gene_Symbol	Disease	Dataset	Total_alterations_Over_Patients_in_dataset	Frequency_in_overall_dataset	Total_primary_tumors_mutated_Over_Primary_tumors_in_dataset	Frequency_in_primary_tumors	Total_relapse_tumors_mutated_Over_Relapse_tumors_in_dataset	Frequency_in_relapse_tumors
AC083902.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
C4orf22	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
MTTP	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
TRAPPC10	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
E2F5	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
PRKACA	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
EPHB2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
SLX4IP	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
PSIP1	High-grade glioma/astrocytoma	PBTA	2/84	2.38%	1/51	1.96%	0/33	0.00%
PSIP1	High-grade glioma/astrocytoma	PBTA	2/84	2.38%	1/51	1.96%	0/33	0.00%
PSIP1	High-grade glioma/astrocytoma	PBTA	2/84	2.38%	1/51	1.96%	0/33	0.00%
PSIP1	High-grade glioma/astrocytoma	PBTA	2/84	2.38%	1/51	1.96%	0/33	0.00%
PSIP1	High-grade glioma/astrocytoma	PBTA	2/84	2.38%	1/51	1.96%	0/33	0.00%
CXXC5	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
AP000949.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
OPCML	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
CTNND2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
LINC02223	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
PTPRS	High-grade glioma/astrocytoma	PBTA	2/84	2.38%	1/51	1.96%	0/33	0.00%
TMBIM6	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
MRPS18B	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
PDIA6	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
CSMD2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
CSTF3	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
AC016987.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
AGBL1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
ANKRD34C-AS1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
CTNND2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
POLR2F	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
ADAMTSL1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
AC122710.3	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
KIAA1024	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
SLC6A3	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
CEMIP	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
LINC01695	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
CXXC5	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
AL603840.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
AL603840.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
QKI	High-grade glioma/astrocytoma	PBTA	2/84	2.38%	2/51	3.92%	0/33	0.00%
QKI	High-grade glioma/astrocytoma	PBTA	2/84	2.38%	2/51	3.92%	0/33	0.00%
CADM3	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
API5	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
HNRNPKP3	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
ASH1L	High-grade glioma/astrocytoma	PBTA	2/84	2.38%	0/51	0.00%	2/33	6.06%
RABGAP1L	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
UVRAG	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
DYNC2H1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
PDGFD	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
ASH1L	High-grade glioma/astrocytoma	PBTA	2/84	2.38%	0/51	0.00%	2/33	6.06%
RABGAP1L	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
TMPO-AS1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
CCND2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
CCND2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
CCND2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
CCND2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
CCND2-AS1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
ERC1	High-grade glioma/astrocytoma	PBTA	3/84	3.57%	1/51	1.96%	1/33	3.03%
ERC1	High-grade glioma/astrocytoma	PBTA	3/84	3.57%	1/51	1.96%	1/33	3.03%
WNK1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
CCND2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
CCND2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
CCND2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
CCND2-AS1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
ERC1	High-grade glioma/astrocytoma	PBTA	3/84	3.57%	1/51	1.96%	1/33	3.03%
CTNNA3	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
BNC2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
LRBA	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
CNN3	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
GLDC	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
PSIP1	High-grade glioma/astrocytoma	PBTA	2/84	2.38%	1/51	1.96%	0/33	0.00%
GLIS3	High-grade glioma/astrocytoma	PBTA	2/84	2.38%	2/51	3.92%	0/33	0.00%
CNBD1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
NKAIN2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
NKAIN2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
FBXL17	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
PTPRS	High-grade glioma/astrocytoma	PBTA	2/84	2.38%	1/51	1.96%	0/33	0.00%
LINC01724	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
DPT	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
PEBP4	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
AC002383.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
PLXNA4	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
PLXNA4	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
CFH	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
AC144836.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
LINC01717	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
IFITM9P	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
HFM1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
LSM6	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
FAM135B	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
FAM135B	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
FAM135B	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
NSMCE2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
CAMK2D	High-grade glioma/astrocytoma	PBTA	2/84	2.38%	0/51	0.00%	2/33	6.06%
PATJ	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
LMTK2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
UVRAG	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
CLU	High-grade glioma/astrocytoma	PBTA	2/84	2.38%	1/51	1.96%	1/33	3.03%
RMRP	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
ACBD6	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
BHMT	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
DUX4L2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
SMYD3	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
QKI	High-grade glioma/astrocytoma	PBTA	2/84	2.38%	2/51	3.92%	0/33	0.00%
NLGN1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
CNTN3	High-grade glioma/astrocytoma	PBTA	2/84	2.38%	1/51	1.96%	0/33	0.00%
AC036214.3	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
MRPS28	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
AC124242.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
AC114781.4	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
DTX1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
ZNF750	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
SLC10A2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
SRP68	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
SRP68	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
ANKS1B	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
FUT8	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
RCN1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	1/33	3.03%
DLGAP1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
CLIP1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
CLIP1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
RBFOX1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
LHPP	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
FN1	High-grade glioma/astrocytoma	PBTA	3/84	3.57%	0/51	0.00%	0/33	0.00%
ZNF385D	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
ZNF385D	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
ZNF385D	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
ZNF385D	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
HSPG2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
AL627224.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
FOXR2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
AC069208.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
LINC01881	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
DUX4L2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
QKI	High-grade glioma/astrocytoma	PBTA	2/84	2.38%	2/51	3.92%	0/33	0.00%
QKI	High-grade glioma/astrocytoma	PBTA	2/84	2.38%	2/51	3.92%	0/33	0.00%
CNBD1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
NUMA1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
CLU	High-grade glioma/astrocytoma	PBTA	2/84	2.38%	1/51	1.96%	1/33	3.03%
FRMD4A	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
SLX4IP	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
SLX4IP	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
OPCML	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
MAN1B1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
AP003548.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
AP003548.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
RCN1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	1/33	3.03%
YWHAE	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
EXOC4	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
ASTN2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
ANKS1B	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
SRPK2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
DPF3	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
NRXN3	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
PATZ1	High-grade glioma/astrocytoma	PBTA	2/84	2.38%	1/51	1.96%	1/33	3.03%
PATZ1	High-grade glioma/astrocytoma	PBTA	2/84	2.38%	1/51	1.96%	1/33	3.03%
PATZ1	High-grade glioma/astrocytoma	PBTA	2/84	2.38%	1/51	1.96%	1/33	3.03%
MNAT1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
CHFR	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
FYN	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
LSAMP	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
CAPRIN1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	1/33	3.03%
AC090330.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
AC008892.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
DENND5B	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
MTND5P15	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	1/33	3.03%
ABTB2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
DMRTA1	High-grade glioma/astrocytoma	PBTA	2/84	2.38%	1/51	1.96%	1/33	3.03%
MIR1303	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
AL357078.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
LINC01679	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
CCND2-AS1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
DPF3	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
ALK	High-grade glioma/astrocytoma	PBTA	2/84	2.38%	2/51	3.92%	0/33	0.00%
AL807742.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
AL807742.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
ZKSCAN7	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
SPATS2L	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	1/33	3.03%
SOD2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
AC008892.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
CD83	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
AP000439.4	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
RN7SL601P	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
AC062039.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
AC097522.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
AC091976.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
AC015574.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	1/33	3.03%
CAPRIN1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	1/33	3.03%
AL358944.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	1/33	3.03%
MIR8054	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	1/33	3.03%
AL353753.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	1/33	3.03%
HNRNPRP2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
CAPRIN1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	1/33	3.03%
C12orf4	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
TGM3	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
AL390955.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
AL355596.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
AL008627.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
MIR3925	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
AL365503.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
ZSCAN23	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
PSMB1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
NPBWR1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
TPI1P1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
AC002463.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
MET	High-grade glioma/astrocytoma	PBTA	2/84	2.38%	2/51	3.92%	0/33	0.00%
CAPRIN1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	1/33	3.03%
SRSF3	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
NAT1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
AP003119.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
RNU6-976P	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
WDR17	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
AC021491.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
OR4A42P	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
CCND2-AS1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
RPS27P18	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
AL450311.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
AC002463.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
DEFB115	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
AL136452.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
AC008892.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
NPBWR1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
AP000916.2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
NBEAP1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
LINC00094	High-grade glioma/astrocytoma	PBTA	2/84	2.38%	1/51	1.96%	1/33	3.03%
AL451164.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
PRRC2B	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
TOX	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
LINC00511	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
FCGR2A	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
TEMN3-AS1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	1/33	3.03%
RNF180	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
AC244502.2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
CLIC4	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
AL353681.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
UNC5B	High-grade glioma/astrocytoma	PBTA	2/84	2.38%	2/51	3.92%	0/33	0.00%
UNC5B	High-grade glioma/astrocytoma	PBTA	2/84	2.38%	2/51	3.92%	0/33	0.00%
AL513479.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
RAD23B	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
DMRTA1	High-grade glioma/astrocytoma	PBTA	2/84	2.38%	1/51	1.96%	1/33	3.03%
AC087883.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
LINC01912	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
AC114912.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
NECAP1P1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
DUX4	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	0/51	0.00%	0/33	0.00%
AC242852.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
AC103724.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
AP001437.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
TTYH1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
AC100870.1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
OR1I1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
NIPA2P2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
RN7SKP6	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
MAN1A2P1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
RNA5SP158	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
RN7SKP82	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
AC139712.2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
AC008083.2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
BNIP3P1	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
LMAN2	High-grade glioma/astrocytoma	PBTA	1/84	1.19%	1/51	1.96%	0/33	0.00%
