symbol	geneID	prevSymbols	synonyms	name	organism
BCRP4	616	BCR4,BCRL4	BCR-4	BREAKPOINT CLUSTER REGION PSEUDOGENE 4	human
KAT6A	7994	ZNF220,RUNXBP2,MYST3	MOZ,ZC2HC6A	LYSINE ACETYLTRANSFERASE 6A	human
FOS	2353		C-FOS,AP-1	FOS PROTO-ONCOGENE, AP-1 TRANSCRIPTION FACTOR SUBUNIT	human
JUND	3727		AP-1	JUND PROTO-ONCOGENE, AP-1 TRANSCRIPTION FACTOR SUBUNIT	human
TLX1	3195	TCL3,HOX11		T-CELL LEUKEMIA HOMEOBOX 1	human
PTBP1	5725	PTB	HNRPI,HNRNP-I,PTB2,PTB3,PTB-1,PTB4,PPTB	POLYPYRIMIDINE TRACT BINDING PROTEIN 1	human
LGI1	9211	EPT	IB1099,ETL1,EPITEMPIN	LEUCINE RICH GLIOMA INACTIVATED 1	human
FLCN	201163		BHD,MGC17998,MGC23445	FOLLICULIN	human
CCND1	595	BCL1,D11S287E,PRAD1	U21B31	CYCLIN D1	human
WNT2	7472	INT1L1	IRP	WNT FAMILY MEMBER 2	human
USP6	9098	HRP1,TRESMCR	TRE-2,TRE17,TRE2	UBIQUITIN SPECIFIC PEPTIDASE 6	human
EGR3	1960		PILOT	EARLY GROWTH RESPONSE 3	human
GHRH	2691	GHRF		GROWTH HORMONE RELEASING HORMONE	human
LMO7	4008	FBXO20	FBX20,KIAA0858	LIM DOMAIN 7	human
RAPGEF1	2889	GRF2	C3G	RAP GUANINE NUCLEOTIDE EXCHANGE FACTOR 1	human
TSC2	7249	TSC4	TUBERIN,LAM,PPP1R160	TUBEROUS SCLEROSIS 2	human
PDGFB	5155	SIS	SSV	PLATELET DERIVED GROWTH FACTOR SUBUNIT B	human
GNAS	2778	GNAS1	NESP55,NESP,GNASXL,GPSA,SCG6,SGVI	GNAS COMPLEX LOCUS	human
CD82	3732	ST6,KAI1	R2,IA4,TSPAN27	CD82 MOLECULE	human
ITK	3702		EMT,PSCTK2,LYK	IL2 INDUCIBLE T-CELL KINASE	human
CHKA	1119	CHK	CKI	CHOLINE KINASE ALPHA	human
MYBL2	4605		BMYB,B-MYB	MYB PROTO-ONCOGENE LIKE 2	human
PDXK	8566	C21ORF97,C21ORF124	PNK,PKH,FLJ21324,PRED79,FLJ31940,MGC15873	PYRIDOXAL KINASE	human
EPS8	2059			EPIDERMAL GROWTH FACTOR RECEPTOR PATHWAY SUBSTRATE 8	human
HYAL1	3373		LUCA1,HYAL-1,FUS2,NAT6	HYALURONOGLUCOSAMINIDASE 1	human
IER3	8870		IEX-1,DIF-2,PRG1,IEX-1L	IMMEDIATE EARLY RESPONSE 3	human
SLC22A18	5002	ORCTL2,BWSCR1A,IMPT1,SLC22A1L	BWR1A,TSSC5,ITM	SOLUTE CARRIER FAMILY 22 MEMBER 18	human
CORO2B	10391		CLIPINC,KIAA0925	CORONIN 2B	human
PAX9	5083			PAIRED BOX 9	human
EXT1	2131	LGCR,LGS	TTV	EXOSTOSIN GLYCOSYLTRANSFERASE 1	human
TPR	7175			TRANSLOCATED PROMOTER REGION, NUCLEAR BASKET PROTEIN	human
SIX4	51804		AREC3	SIX HOMEOBOX 4	human
S100A7	6278	PSOR1	S100A7C	S100 CALCIUM BINDING PROTEIN A7	human
ERCC6	2074	CKN2	CSB,RAD26,ARMD5	ERCC EXCISION REPAIR 6, CHROMATIN REMODELING FACTOR	human
MDM2	4193		HDM2,MGC5370	MDM2 PROTO-ONCOGENE	human
BCL2L1	598		BCLX,BCL2L,BCL-X,BCL-XL,BCL-XS,PPP1R52	BCL2 LIKE 1	human
CUEDC1	404093			CUE DOMAIN CONTAINING 1	human
TRMT10A	93587	RG9MTD2	MGC27034,TRM10	TRNA METHYLTRANSFERASE 10A	human
RPS6KA1	6195		RSK,RSK1,HU-1,P90RSK	RIBOSOMAL PROTEIN S6 KINASE A1	human
PAPPA2	60676	PLAC3	PAPPE,PAPP-A2	PAPPALYSIN 2	human
PTP4A3	11156		PRL-3,PRL-R,PRL3	PROTEIN TYROSINE PHOSPHATASE TYPE IVA, MEMBER 3	human
CDC42EP1	11135		MSE55,CEP1,BORG5	CDC42 EFFECTOR PROTEIN 1	human
PRCC	5546		RCCP1	PAPILLARY RENAL CELL CARCINOMA (TRANSLOCATION-ASSOCIATED)	human
PTPRJ	5795		DEP1,HPTPETA,CD148	PROTEIN TYROSINE PHOSPHATASE, RECEPTOR TYPE J	human
CSPG4	1464		MCSPG,MEL-CSPG,MSK16,NG2,MCSP,HMW-MAA	CHONDROITIN SULFATE PROTEOGLYCAN 4	human
HIP1	3092		ILWEQ	HUNTINGTIN INTERACTING PROTEIN 1	human
PRG4	10216	CACP	JCAP,SZP,MSF,HAPO,BG174L6.2,FLJ32635	PROTEOGLYCAN 4	human
RHCG	51458	C15ORF6	RHGK,PDRC2,SLC42A3	RH FAMILY C GLYCOPROTEIN	human
PPP1CC	5501		PP1C,PP1GAMMA	PROTEIN PHOSPHATASE 1 CATALYTIC SUBUNIT GAMMA	human
TGFA	7039			TRANSFORMING GROWTH FACTOR ALPHA	human
SOX9	6662	CMD1,CMPD1	SRA1	SRY-BOX 9	human
CD109	135228		FLJ38569,DKFZP762L1111,CPAMD7	CD109 MOLECULE	human
STEAP2	261729	PCANAP1	IPCA-1,STAMP1,STMP	STEAP2 METALLOREDUCTASE	human
HSPA5	3309	GRP78	BIP	HEAT SHOCK PROTEIN FAMILY A (HSP70) MEMBER 5	human
NCOA2	10499		TIF2,GRIP1,NCOA-2,KAT13C,BHLHE75	NUCLEAR RECEPTOR COACTIVATOR 2	human
WAS	7454	IMD2,THC	WASP,WASPA	WISKOTT-ALDRICH SYNDROME	human
ZNF146	7705		OZF	ZINC FINGER PROTEIN 146	human
MARK4	57787	MARKL1	NBLA00650,FLJ90097,KIAA1860,PAR-1D	MICROTUBULE AFFINITY REGULATING KINASE 4	human
CD55	1604	DAF	CR,TC,CROM	CD55 MOLECULE (CROMER BLOOD GROUP)	human
MYOD1	4654	MYF3	PUM,MYOD,BHLHC1	MYOGENIC DIFFERENTIATION 1	human
FLT3	2322		STK1,FLK2,CD135	FMS RELATED TYROSINE KINASE 3	human
LYL1	4066		BHLHA18	LYL1, BASIC HELIX-LOOP-HELIX FAMILY MEMBER	human
HOXC11	3227	HOX3H		HOMEOBOX C11	human
APLNR	187	AGTRL1	FLJ90771,APJ,APJR	APELIN RECEPTOR	human
NKX2-5	1482	CSX,NKX2E	CSX1,NKX2.5,NKX4-1	NK2 HOMEOBOX 5	human
ZNF318	24149		HRIHFB2436,ZFP318	ZINC FINGER PROTEIN 318	human
ABTB2	25841		DKFZP586C1619,BTBD22,ABTB2A	ANKYRIN REPEAT AND BTB DOMAIN CONTAINING 2	human
FUS	2521	ALS6	TLS,FUS1,HNRNP-P2,HNRNPP2	FUS RNA BINDING PROTEIN	human
ICAM5	7087	TLCN	TLN	INTERCELLULAR ADHESION MOLECULE 5	human
SYNE1	23345	C6ORF98	SYNE-1B,KIAA0796,8B,NESPRIN-1,ENAPTIN,MYNE1,CPG2,DJ45H2.2,SCAR8,ARCA1,NESP1	SPECTRIN REPEAT CONTAINING NUCLEAR ENVELOPE PROTEIN 1	human
UCHL5	51377		UCH37,CGI-70,INO80R	UBIQUITIN C-TERMINAL HYDROLASE L5	human
SUSD3	203328		MGC26847	SUSHI DOMAIN CONTAINING 3	human
RNF216	54476		TRIAD3,UBCE7IP1,ZIN	RING FINGER PROTEIN 216	human
COL7A1	1294	EBDCT,EBD1,EBR1		COLLAGEN TYPE VII ALPHA 1 CHAIN	human
PLD1	5337			PHOSPHOLIPASE D1	human
MUC6	4588			MUCIN 6, OLIGOMERIC MUCUS/GEL-FORMING	human
COL28A1	340267			COLLAGEN TYPE XXVIII ALPHA 1 CHAIN	human
ZMYND8	23613	PRKCBP1	RACK7	ZINC FINGER MYND-TYPE CONTAINING 8	human
ADAMTSL3	57188		KIAA1233,PUNCTIN-2	ADAMTS LIKE 3	human
SPECC1	92521		HCMOGT-1,FLJ36955,NSP,CYTSB	SPERM ANTIGEN WITH CALPONIN HOMOLOGY AND COILED-COIL DOMAINS 1	human
CREB3L1	90993		OASIS	CAMP RESPONSIVE ELEMENT BINDING PROTEIN 3 LIKE 1	human
BRD3	8019		RING3L,ORFX,KIAA0043	BROMODOMAIN CONTAINING 3	human
RET	5979	HSCR1,MEN2A,MTC1,MEN2B	PTC,CDHF12,RET51,CDHR16	RET PROTO-ONCOGENE	human
OTX2	5015			ORTHODENTICLE HOMEOBOX 2	human
CLTCL1	8218	CLTCL	CLTD,CLH22,CHC22	CLATHRIN HEAVY CHAIN LIKE 1	human
DUSP10	11221		MKP-5,MKP5	DUAL SPECIFICITY PHOSPHATASE 10	human
RLN2	6019		H2,RLXH2,BA12D24.1.1,BA12D24.1.2	RELAXIN 2	human
ADIPOR1	51094		PAQR1,ACDCR1	ADIPONECTIN RECEPTOR 1	human
MUC16	94025		CA125,FLJ14303	MUCIN 16, CELL SURFACE ASSOCIATED	human
NTRK1	4914		TRK,TRKA,MTC	NEUROTROPHIC RECEPTOR TYROSINE KINASE 1	human
REG4	83998		REG-IV,RELP,GISP	REGENERATING FAMILY MEMBER 4	human
KDM6A	7403	UTX		LYSINE DEMETHYLASE 6A	human
PLAGL2	5326		ZNF900	PLAG1 LIKE ZINC FINGER 2	human
TGFBI	7045	CSD3,LCD1,CSD1,CSD2	BIGH3,CDB1,CDGG1	TRANSFORMING GROWTH FACTOR BETA INDUCED	human
AATF	26574		DED,CHE-1,CHE1,BFR2	APOPTOSIS ANTAGONIZING TRANSCRIPTION FACTOR	human
SBNO1	55206		MOP3,FLJ10701,FLJ10833,SNO	STRAWBERRY NOTCH HOMOLOG 1	human
SMYD3	64754	ZNFN3A1,ZMYND1	KMT3E	SET AND MYND DOMAIN CONTAINING 3	human
CPLX2	10814		CPX-2,DKFZP547D155	COMPLEXIN 2	human
PTPN13	5783		PTP1E,PTP-BAS,PTPL1,PTP-BL	PROTEIN TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 13	human
PSIP1	11168	PSIP2	P52,LEDGF,P75	PC4 AND SFRS1 INTERACTING PROTEIN 1	human
PLA2G2A	5320	PLA2B,PLA2L		PHOSPHOLIPASE A2 GROUP IIA	human
RCC2	55920		TD-60	REGULATOR OF CHROMOSOME CONDENSATION 2	human
JAZF1	221895		TIP27,DKFZP761K2222,ZNF802	JAZF ZINC FINGER 1	human
ARAP2	116984	CENTD1	PARX	ARFGAP WITH RHOGAP DOMAIN, ANKYRIN REPEAT AND PH DOMAIN 2	human
TACSTD2	4070	M1S1	TROP2,GA733-1,EGP-1	TUMOR-ASSOCIATED CALCIUM SIGNAL TRANSDUCER 2	human
FGFR1	2260	FLT2,KAL2	H2,H3,H4,H5,CEK,FLG,BFGFR,N-SAM,CD331	FIBROBLAST GROWTH FACTOR RECEPTOR 1	human
WRAP53	55135	WDR79	FLJ10385,TCAB1	WD REPEAT CONTAINING ANTISENSE TO TP53	human
HOXA3	3200	HOX1E,HOX1		HOMEOBOX A3	human
ERBB2	2064	NGL	NEU,HER-2,CD340,HER2	ERB-B2 RECEPTOR TYROSINE KINASE 2	human
CDA	978		CDD	CYTIDINE DEAMINASE	human
RAP1GDS1	5910		SMGGDS	RAP1 GTPASE-GDP DISSOCIATION STIMULATOR 1	human
IFI27	3429		P27,FAM14D,ISG12	INTERFERON ALPHA INDUCIBLE PROTEIN 27	human
MAFK	7975		P18,NFE2U	MAF BZIP TRANSCRIPTION FACTOR K	human
HEXIM1	10614		CLP-1,HIS1,MAQ1,EDG1	HEXAMETHYLENE BISACETAMIDE INDUCIBLE 1	human
SOCS1	8651		SOCS-1,SSI-1,JAB,TIP3,CISH1	SUPPRESSOR OF CYTOKINE SIGNALING 1	human
CRTC3	64784		FLJ21868	CREB REGULATED TRANSCRIPTION COACTIVATOR 3	human
RNF213	57674	C17ORF27,KIAA1618,MYMY2	KIAA1554,NET57	RING FINGER PROTEIN 213	human
RASGRP2	10235		CALDAG-GEFI	RAS GUANYL RELEASING PROTEIN 2	human
AVPI1	60370		VIP32,PP5395,VIT32	ARGININE VASOPRESSIN INDUCED 1	human
RUNX2	860	CCD,CBFA1,CCD1	AML3,PEBP2A1,PEBP2AA1	RUNT RELATED TRANSCRIPTION FACTOR 2	human
MTA1	9112			METASTASIS ASSOCIATED 1	human
CTSH	1512	CPSB	ACC-4,ACC-5,ACC4,ACC5	CATHEPSIN H	human
NUDT6	11162		GFG-1,GFG,FGF2AS,FGF-AS	NUDIX HYDROLASE 6	human
KAT14	57325	CSRP2BP	CRP2BP,DJ717M23.1,PRO1194,ATAC2	LYSINE ACETYLTRANSFERASE 14	human
LTB	4050	TNFC	P33,TNFSF3	LYMPHOTOXIN BETA	human
NUP98	4928		NUP96	NUCLEOPORIN 98	human
HMGA2	8091	HMGIC	BABL,LIPO	HIGH MOBILITY GROUP AT-HOOK 2	human
ERCC2	2068	XPD	MAG,EM9,MGC102762,MGC126218,MGC126219,TFIIH	ERCC EXCISION REPAIR 2, TFIIH CORE COMPLEX HELICASE SUBUNIT	human
SLC6A3	6531	DAT1	DAT	SOLUTE CARRIER FAMILY 6 MEMBER 3	human
MC2R	4158		ACTHR	MELANOCORTIN 2 RECEPTOR	human
HPR	3250			HAPTOGLOBIN-RELATED PROTEIN	human
HSP90AA1	3320	HSPC1,HSPCA	HSP89,HSP90,FLJ31884,HSP90N	HEAT SHOCK PROTEIN 90 ALPHA FAMILY CLASS A MEMBER 1	human
KLF3	51274		BKLF	KRUPPEL LIKE FACTOR 3	human
SPOP	8405		TEF2,BTBD32	SPECKLE TYPE BTB/POZ PROTEIN	human
REPS2	9185		POB1	RALBP1 ASSOCIATED EPS DOMAIN CONTAINING 2	human
BTG1	694		APRO2	BTG ANTI-PROLIFERATION FACTOR 1	human
SCYL1	57410	NTKL	HT019,P105,GKLP,NKTL,TAPK,TRAP,TEIF,MGC78454	SCY1 LIKE PSEUDOKINASE 1	human
BARD1	580			BRCA1 ASSOCIATED RING DOMAIN 1	human
CDKN2C	1031		INK4C,P18	CYCLIN DEPENDENT KINASE INHIBITOR 2C	human
MUC4	4585			MUCIN 4, CELL SURFACE ASSOCIATED	human
UBE3A	7337	EPVE6AP,HPVE6A	AS,ANCR,E6-AP,FLJ26981	UBIQUITIN PROTEIN LIGASE E3A	human
DLG1	1739		SAP97,SAP-97,HDLG,DLGH1,DJ1061C18.1.1	DISCS LARGE MAGUK SCAFFOLD PROTEIN 1	human
MSH3	4437		DUP,MRP1	MUTS HOMOLOG 3	human
HDLBP	3069	VGL	HBP	HIGH DENSITY LIPOPROTEIN BINDING PROTEIN	human
PATJ	10207	INADL	CIPP	PATJ, CRUMBS CELL POLARITY COMPLEX COMPONENT	human
HKR1	284459		ZNF875	HKR1, GLI-KRUPPEL ZINC FINGER FAMILY MEMBER	human
KMT2A	4297	MLL	TRX1,HRX,ALL-1,HTRX1,CXXC7,MLL1A	LYSINE METHYLTRANSFERASE 2A	human
DICER1	23405	MNG1	DICER,KIAA0928,K12H4.8-LIKE,HERNA	DICER 1, RIBONUCLEASE III	human
SFRP4	6424		FRPHE,FRP-4,FRPHE	SECRETED FRIZZLED RELATED PROTEIN 4	human
MCM5	4174	CDC46		MINICHROMOSOME MAINTENANCE COMPLEX COMPONENT 5	human
TDGF1	6997		CRIPTO,CR,CRIPTO-1	TERATOCARCINOMA-DERIVED GROWTH FACTOR 1	human
HDAC3	8841		RPD3,HD3,RPD3-2	HISTONE DEACETYLASE 3	human
CASC3	22794		MLN51,BTZ	CANCER SUSCEPTIBILITY 3	human
SLC27A1	376497		FATP1,FATP,MGC71751,FLJ00336,ACSVL5	SOLUTE CARRIER FAMILY 27 MEMBER 1	human
RMND5B	64777		FLJ22318,GID2,GID2B	REQUIRED FOR MEIOTIC NUCLEAR DIVISION 5 HOMOLOG B	human
GIMAP7	168537		MGC27027,IAN7	GTPASE, IMAP FAMILY MEMBER 7	human
MDS2	259283			MYELODYSPLASTIC SYNDROME 2 TRANSLOCATION ASSOCIATED	human
CDKN3	1033		KAP,CDI1	CYCLIN DEPENDENT KINASE INHIBITOR 3	human
CYB5R4	51167	NCB5OR	B5+B5R,DJ676J13.1	CYTOCHROME B5 REDUCTASE 4	human
PBX1	5087			PBX HOMEOBOX 1	human
NR2F1	7025	ERBAL3,TFCOUP1	EAR-3,COUP-TFI,TCFCOUP1,SVP44	NUCLEAR RECEPTOR SUBFAMILY 2 GROUP F MEMBER 1	human
B4GALT5	9334		BETA4GALT-V	BETA-1,4-GALACTOSYLTRANSFERASE 5	human
MAPK7	5598	PRKM7	BMK1,ERK5	MITOGEN-ACTIVATED PROTEIN KINASE 7	human
SEPT2	4735	DIFF6,NEDD5	KIAA0158,HNEDD5,PNUTL3	SEPTIN 2	human
SPINT1	6692		HAI,MANSC2	SERINE PEPTIDASE INHIBITOR, KUNITZ TYPE 1	human
IL3RA	3563		CD123	INTERLEUKIN 3 RECEPTOR SUBUNIT ALPHA	human
CLTC	1213	CLTCL2	HC	CLATHRIN HEAVY CHAIN	human
MST1R	4486	RON,PTK8	CDW136,CD136	MACROPHAGE STIMULATING 1 RECEPTOR	human
DEFB1	1672		HBD-1,DEFB-1,DEFB101,HBD1,BD1,MGC51822	DEFENSIN BETA 1	human
NRIP1	8204		RIP140	NUCLEAR RECEPTOR INTERACTING PROTEIN 1	human
ABI1	10006	SSH3BP1	E3B1,ABI-1	ABL INTERACTOR 1	human
NBL1	4681		D1S1733E,NB,DAN,NO3,DAND1	NEUROBLASTOMA 1, DAN FAMILY BMP ANTAGONIST	human
NRF1	4899		EWG,ALPHA-PAL	NUCLEAR RESPIRATORY FACTOR 1	human
PRRX1	5396	PMX1	PHOX1	PAIRED RELATED HOMEOBOX 1	human
NONO	4841		NRB54,NMT55,P54NRB,P54,PPP1R114	NON-POU DOMAIN CONTAINING, OCTAMER-BINDING	human
IGF1	3479		IGF1A,IGFI,IGF-I	INSULIN LIKE GROWTH FACTOR 1	human
PFN1	5216			PROFILIN 1	human
FANCC	2176	FACC	FAC,FA3	FANCONI ANEMIA COMPLEMENTATION GROUP C	human
PAX3	5077	WS1	HUP2	PAIRED BOX 3	human
NUP133	55746		FLJ10814	NUCLEOPORIN 133	human
DAB2	1601		DOC-2	DAB2, CLATHRIN ADAPTOR PROTEIN	human
RERE	473	ATN1L	KIAA0458,ARP,ARG,DNB1	ARGININE-GLUTAMIC ACID DIPEPTIDE REPEATS	human
SDC1	6382	SDC	CD138,SYNDECAN,SYND1	SYNDECAN 1	human
RSRP1	57035	C1ORF63	DJ465N24.2.1	ARGININE AND SERINE RICH PROTEIN 1	human
FANCA	2175	FACA,FANCH	FAA,FA-H,FAH	FANCONI ANEMIA COMPLEMENTATION GROUP A	human
PDGFRA	5156		CD140A,PDGFR2,GAS9	PLATELET DERIVED GROWTH FACTOR RECEPTOR ALPHA	human
HMGA1	3159	HMGIY		HIGH MOBILITY GROUP AT-HOOK 1	human
IDH2	3418			ISOCITRATE DEHYDROGENASE (NADP(+)) 2, MITOCHONDRIAL	human
KLK5	25818		SCTE,KLK-L2	KALLIKREIN RELATED PEPTIDASE 5	human
ERCC5	2073	ERCM2,XPGC		ERCC EXCISION REPAIR 5, ENDONUCLEASE	human
SEMA4D	10507	SEMAJ,C9ORF164	CD100,COLL-4,FLJ39737	SEMAPHORIN 4D	human
IGHG1	3500			IMMUNOGLOBULIN HEAVY CONSTANT GAMMA 1 (G1M MARKER)	human
IL23A	51561		SGRF,IL23P19,IL-23,IL-23A,P19	INTERLEUKIN 23 SUBUNIT ALPHA	human
GRIN2D	2906	NMDAR2D	GLUN2D,EB11,NR2D	GLUTAMATE IONOTROPIC RECEPTOR NMDA TYPE SUBUNIT 2D	human
XAF1	54739		BIRC4BP,XIAPAF1,HSXIAPAF1	XIAP ASSOCIATED FACTOR 1	human
CTNND1	1500	CTNND	KIAA0384,P120,P120CAS,P120CTN	CATENIN DELTA 1	human
KLK11	11012	PRSS20	TLSP	KALLIKREIN RELATED PEPTIDASE 11	human
DIRC1	116093			DISRUPTED IN RENAL CARCINOMA 1	human
WNT3A	89780			WNT FAMILY MEMBER 3A	human
USP32	84669		NY-REN-60,USP10	UBIQUITIN SPECIFIC PEPTIDASE 32	human
FSCB	84075	C14ORF155	DKFZP434F1017	FIBROUS SHEATH CABYR BINDING PROTEIN	human
KCTD2	23510		KIAA0176	POTASSIUM CHANNEL TETRAMERIZATION DOMAIN CONTAINING 2	human
PSMA5	5686		ZETA	PROTEASOME SUBUNIT ALPHA 5	human
PLEK2	26499			PLECKSTRIN 2	human
TAC1	6863	TAC2,NKNA	NPK	TACHYKININ PRECURSOR 1	human
CHFR	55743		FLJ10796,RNF196	CHECKPOINT WITH FORKHEAD AND RING FINGER DOMAINS	human
PTPN14	5784		PEZ	PROTEIN TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 14	human
RAD51B	5890	RAD51L1	REC2,HREC2,R51H2	RAD51 PARALOG B	human
CD69	969		CLEC2C	CD69 MOLECULE	human
XRCC3	7517			X-RAY REPAIR CROSS COMPLEMENTING 3	human
MAGEE1	57692		KIAA1587,DAMAGE	MAGE FAMILY MEMBER E1	human
KDM2B	84678	FBXL10	PCCX2,CXXC2,FBL10,JHDM1B	LYSINE DEMETHYLASE 2B	human
APH1A	51107		APH-1A,CGI-78	APH-1 HOMOLOG A, GAMMA-SECRETASE SUBUNIT	human
CRIP2	1397		CRP2,ESP1	CYSTEINE RICH PROTEIN 2	human
DUX4	100288687			DOUBLE HOMEOBOX 4	human
GGA1	26088			GOLGI ASSOCIATED, GAMMA ADAPTIN EAR CONTAINING, ARF BINDING PROTEIN 1	human
PLEKHG2	64857		CLG,FLJ00018,ARHGEF42	PLECKSTRIN HOMOLOGY AND RHOGEF DOMAIN CONTAINING G2	human
FUBP1	8880	FUBP	FBP	FAR UPSTREAM ELEMENT BINDING PROTEIN 1	human
MUC5AC	4586		MUC5	MUCIN 5AC, OLIGOMERIC MUCUS/GEL-FORMING	human
PIM2	11040			PIM-2 PROTO-ONCOGENE, SERINE/THREONINE KINASE	human
ADGRE5	976	CD97	TM7LN1	ADHESION G PROTEIN-COUPLED RECEPTOR E5	human
PRKD1	5587	PRKCM	PKCM,PKD,PKC-MU	PROTEIN KINASE D1	human
EPHA7	2045		HEK11	EPH RECEPTOR A7	human
SLC4A1	6521	EPB3,AE1,DI,WD	RTA1A,CD233,FR,SW,WR	SOLUTE CARRIER FAMILY 4 MEMBER 1 (DIEGO BLOOD GROUP)	human
ZFP36L1	677	BRF1	RNF162B,BERG36,ERF1,TIS11B,CMG1	ZFP36 RING FINGER PROTEIN LIKE 1	human
DCC	1630		IGDCC1,NTN1R1	DCC NETRIN 1 RECEPTOR	human
PTPA	5524	PPP2R4	PR53	PROTEIN PHOSPHATASE 2 PHOSPHATASE ACTIVATOR	human
BAALC	79870			BRAIN AND ACUTE LEUKEMIA, CYTOPLASMIC	human
ASL	435			ARGININOSUCCINATE LYASE	human
APAF1	317		CED4,APAF-1	APOPTOTIC PEPTIDASE ACTIVATING FACTOR 1	human
GLTSCR2	29997		PICT-1	GLIOMA TUMOR SUPPRESSOR CANDIDATE REGION GENE 2	human
ABCC1	4363	MRP,MRP1	GS-X	ATP BINDING CASSETTE SUBFAMILY C MEMBER 1	human
PRDX1	5052	PAGA	NKEFA	PEROXIREDOXIN 1	human
KIAA1524	57650		CIP2A	KIAA1524	human
RAP1A	5906		KREV-1,SMGP21	RAP1A, MEMBER OF RAS ONCOGENE FAMILY	human
AGER	177		RAGE,SCARJ1	ADVANCED GLYCOSYLATION END-PRODUCT SPECIFIC RECEPTOR	human
GAB1	2549			GRB2 ASSOCIATED BINDING PROTEIN 1	human
TGFB2	7042			TRANSFORMING GROWTH FACTOR BETA 2	human
ERRFI1	54206		MIG-6,GENE-33,RALT	ERBB RECEPTOR FEEDBACK INHIBITOR 1	human
FOXP1	27086		QRF1,12CC4,HSPC215,HFKH1B	FORKHEAD BOX P1	human
RSPO3	84870	THSD2	FLJ14440	R-SPONDIN 3	human
NOL3	8996		ARC,NOP30,MYP,CARD2	NUCLEOLAR PROTEIN 3	human
PLCL1	5334	PLCE	PLC-L,PLCL,PRIP,PPP1R127	PHOSPHOLIPASE C LIKE 1	human
CUBN	8029	MGA1	IFCR,GP280	CUBILIN	human
COX6C	1345			CYTOCHROME C OXIDASE SUBUNIT 6C	human
AP3M2	10947		CLA20,AP47B	ADAPTOR RELATED PROTEIN COMPLEX 3 MU 2 SUBUNIT	human
LGALS3BP	3959		MAC-2-BP,90K,BTBD17B,TANGO10B,M2BP,GP90,CYCAP	GALECTIN 3 BINDING PROTEIN	human
GADD45G	10912		DDIT2,GADD45GAMMA,GRP17,CR6	GROWTH ARREST AND DNA DAMAGE INDUCIBLE GAMMA	human
CDC25C	995	CDC25	PPP1R60	CELL DIVISION CYCLE 25C	human
GMPS	8833			GUANINE MONOPHOSPHATE SYNTHASE	human
E2F1	1869	RBBP3	RBP3	E2F TRANSCRIPTION FACTOR 1	human
NCOA4	8031		ARA70,RFG,ELE1,PTC3,DKFZP762E1112	NUCLEAR RECEPTOR COACTIVATOR 4	human
MRE11	4361	MRE11A	ATLD	MRE11 HOMOLOG, DOUBLE STRAND BREAK REPAIR NUCLEASE	human
DST	667	BPAG1	BP240,KIAA0728,FLJ21489,FLJ13425,FLJ32235,FLJ30627,CATX-15,BPA,MACF2	DYSTONIN	human
MIR125B1	406911	MIRN125B1	HSA-MIR-125B-1	MICRORNA 125B-1	human
CDC6	990	CDC18L		CELL DIVISION CYCLE 6	human
KSR1	8844	KSR	RSU2	KINASE SUPPRESSOR OF RAS 1	human
CYP7A1	1581	CYP7		CYTOCHROME P450 FAMILY 7 SUBFAMILY A MEMBER 1	human
APEH	327	D3F15S2,DNF15S2,D3S48E		ACYLAMINOACYL-PEPTIDE HYDROLASE	human
TNN	63923			TENASCIN N	human
ABCB4	5244	PGY3,MDR3	MDR2,PFIC-3,GBD1	ATP BINDING CASSETTE SUBFAMILY B MEMBER 4	human
STX4	6810	STX4A	P35-2	SYNTAXIN 4	human
BCL11A	53335	EVI9	BCL11A-XL,BCL11A-L,BCL11A-S,CTIP1,HBFQTL5,ZNF856	B-CELL CLL/LYMPHOMA 11A	human
AR	367	DHTR,SBMA	AIS,NR3C4,SMAX1,HUMARA	ANDROGEN RECEPTOR	human
TET2	54790	KIAA1546	FLJ20032	TET METHYLCYTOSINE DIOXYGENASE 2	human
IGFBP1	3484	IBP1	IGF-BP25,AFBP,HIGFBP-1,PP12	INSULIN LIKE GROWTH FACTOR BINDING PROTEIN 1	human
RUNX1	861	AML1,CBFA2	PEBP2A2,AMLCR1	RUNT RELATED TRANSCRIPTION FACTOR 1	human
MMP11	4320	STMY3		MATRIX METALLOPEPTIDASE 11	human
ABCB10	23456		EST20237,M-ABC2,MTABC2	ATP BINDING CASSETTE SUBFAMILY B MEMBER 10	human
SLC30A5	64924		ZTL1,ZNT-5,FLJ12496,FLJ12756,ZNT5,MGC5499,ZNTL1	SOLUTE CARRIER FAMILY 30 MEMBER 5	human
RUNX1T1	862	AML1T1,CBFA2T1	CDR,ETO,MTG8,ZMYND2	RUNX1 TRANSLOCATION PARTNER 1	human
MECOM	2122	MDS1,EVI1	MDS1-EVI1,PRDM3,KMT8E	MDS1 AND EVI1 COMPLEX LOCUS	human
SYNE3	161176	C14ORF49,LINC00341,C14ORF139,NCRNA00341	FLJ25605,NET53,NESPRIN-3,NESP3	SPECTRIN REPEAT CONTAINING NUCLEAR ENVELOPE FAMILY MEMBER 3	human
ACTL9	284382		MGC33407	ACTIN LIKE 9	human
SNX5	27131			SORTING NEXIN 5	human
